keyword	TC	Centrality	Burst	PY	BurstBegin	BurstEnd	Span	HalfLife2	Status	WaitingTime
@PHRASE中国	4.0	0.020552984286387656	0.9778	2020	2022	2023	2	1.5	1	2
@PHRASE企业韧性	3.0	0.013808114818215828	1.7763	2022	2022	2023	2	-0.5	1	0
@PHRASE学生	7.0	0.01555617327625742	0.9749	2020	2021	2022	2	0.5	1	1
@PHRASE抑郁	21.0	0.0991267316605661	2.5571	2020	2022	2025	4	0.5	1	2
@PHRASE社会支持	7.0	0.006378571865441292	0.9749	2020	2021	2022	2	0.5	1	1
@PHRASE供应链	4.0	0.020651114237120786	0.9778	2020	2022	2023	2	1.5	1	2
@PHRASE大学生	18.0	0.08085139058939564	3.0485	2020	2021	2022	2	0.5	1	1
@PHRASE风险评估	5.0	0.0	2.1898	2021	2021	2022	2	-0.5	1	0
@PHRASE新冠疫情	84.0	0.47850403365515426	1.8789	2020	2022	2023	2	-0.5	1	2
@PHRASE经济韧性	4.0	4.0812162024283236E-4	1.6245	2021	2021	2023	3	1.5	1	0
@PHRASE风险感知	7.0	0.015092062803367747	2.7892	2021	2021	2025	5	-0.5	1	0
@PHRASE疫情冲击	3.0	0.0	1.7763	2022	2022	2023	2	-0.5	1	0
@PHRASE股票市场	3.0	0.041016222834404654	1.2168	2021	2021	2023	3	-0.5	1	0
